共有 旅館 298 家?? 查詢日期：103年9月10日,,,,,,,,,,,,,,,,,,,
專用標,名稱,英文名稱,日文名稱,電話,傳真,營業地址,英文營業地址,日文營業地址,現狀,網址,E-mail,負責人/經營者,經營類型/特色,房間數,參考房價,交通資訊及觀光景點,核准設立日期,最近裝修日期,照片(上傳日期)
識編號,,,,,,,,,,,,,,,,,,,
70,皇凱賓館,皇凱賓館 ,皇凱賓館,04 - 22206108 ,? ,臺中市中區三民路二段116號6-8樓,皇凱賓館,台中市中?三民路二段116?6~8F ,合法 營業,,,江月秀,"一般旅館, ,",13 間,500 ~ 1000,,2004/2/25,,
36,東城旅社,East Side Hostel ,??????????,04 - 22225002 ,04 - 22963322 ,臺中市中區中山路14號,Taichung City in the mountain on the 14th District,14???山台中市 ,合法 營業,,,古金昌,"一般旅館, ,",25 間,300 ~ 500,,2004/2/15,,3張(2014/09/05)
311,塔木德．中山館,Talmud Business Hotel-Zhong Shan ,塔木德˙中山館,04 - 22276633 ,04 - 22270366 ,臺中市中區中山路175巷15號,"No.15, Ln. 175, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中山路175巷15? ,合法 營業,http://www.talmud.com.tw,order.talmud@kimo.com,林家豐,"一般旅館,商務旅館,,",74 間,1560 ~ 4820,交通資訊:位於台中火車站10分鐘路程 毗鄰台中火車站、宮原眼科、一中商圈、繼光街商圈、中華路夜市、及台中電子街等繁華景點。,2013/7/9,2013/6/26,5張(2014/09/05)
132,集賢大飯店,HOTEL WITH MTV ,集賢大飯店,04 - 22291171 ,04 - 22278802 ,臺中市中區中山路17之7之1、17之8之1號,"7-8F., No.17, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中山路17?7~8F ,合法 營業,,,王志良,"一般旅館, ,",35 間,680 ~ 1600,,2004/4/26,,
60,53行館,53 Hotel ,53 Hotel,04 - 22206699 ,04 - 22205899 ,臺中市中區中山路27號,"No.27, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中山路27? ,合法 營業,http://www.53hotel.com.tw,daphne@53hotel.com.tw,賴忠明,"一般旅館, ,",70 間,3600 ~ 5500,,2004/2/15,,5張(2014/09/05)
106,安可旅店,Bravo Hotel ,安可旅店,04 - 22225005 ,04 - 22225006 ,臺中市中區中山路3-1號,"No.3-1, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中山路3-1? ,合法 營業,http://www.bravo-hotel.com.tw,service@bravo-hotel.com.tw,曾黃麗真,"一般旅館, ,",46 間,1280 ~ 2500,,2004/3/25,,1張(2014/09/05)
120,富春大飯店,FUH CHUN HOTEL ,富春大飯店?　???　???,04 - 22283181 ,04 - 22283187 ,臺中市中區中山路3號,"No.3, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中山路3? ,合法 營業,,,陳信雄,"一般旅館, ,",61 間,530 ~ 1580,,2004/3/25,,
310,綠柳町文旅,Reloading Hotel ,綠柳町文旅,04 - 22217668 ,04 - 22217665 ,臺中市中區中山路55號,"No.55, Zhongshan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中山路55? ,合法 營業,http://reloading-hotel.com/,hotel.tbtr@gmail.com,邱郁清,"一般旅館,商務旅館,,",40 間,1680 ~ 3220,鄰進宮原眼科、臺中公園、電子街與繼光街,2013/7/8,2013/5/24,
130,仙宗大飯店,SHIAN TJONG HOTEL ,,04 - 22228821 ,04 - 22228905 ,臺中市中區中正路103巷4號,"No.4, Ln. 103, Zhongzheng Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",,合法 停業,,,蔡順貴,"一般旅館, ,",12 間,800 ~ 1000,,2004/4/26,,
23,碧園旅店,PEIYAN HOTEL ,碧園旅店,04 - 22276115 ,04 - 22208565 ,臺中市中區中正路112號,"No.112, Zhongzheng Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中正路112? ,合法 營業,,,林羿吟,"一般旅館, ,",30 間,500 ~ 1200,,2004/1/15,,
73,哈密瓜時尚旅店,MING KING HOTEL ,無,04 - 22245577 ,04 - 22229896 ,臺中市中區中正路11號6-12樓,"7-12F., No.11, Zhongzheng Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",無 ,合法 營業,,,徐照雄,"商務旅館, ,",67 間,1180 ~ 2800,,2004/3/15,,3張(2014/09/05)
141,金奇易果快捷旅店,Kiwi Express Hotel-Zhongzheng branch ,????????????中正,04 - 22294466 ,04 - 22206665 ,臺中市中區中正路253號3至9樓,"No.253, Zhongzheng Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中正路253?3至9樓 ,合法 營業,,,徐照雄,"一般旅館, ,",43 間,2000 ~ 3200,,2004/4/26,,5張(2014/09/05)
44,銀座大飯店,Gin-Za Hotel ,銀座大飯店???　???,04 - 22252181 ,04 - 22256699 ,臺中市中區中正路43巷16號,"No.16, Ln. 43, Zhongzheng Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?中正路43巷16? ,合法 營業,,,謝淑華,"一般旅館, ,",61 間,600 ~ 1400,,2004/2/15,,
91,華園大旅社,華園大旅社 ,華園大旅社,04 - 22225056 ,? ,臺中市中區中正路43巷2-1號,華園大旅社,台中市中?中正路43巷2-1? ,合法 營業,,,林瑩如,"一般旅館, ,",20 間,500 ~ 1200,,2004/3/25,,
315,御所旅館,YU SO HOTEL ,御所旅?,04 - 22319928 ,04 - 22319928 ,臺中市中區公園里市府路81號5-6樓,"5-6F., No.81, Shifu Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?公?里市府路81?5-6? ,合法 營業,,,吳聲忠,"一般旅館,,",12 間,1200 ~ 1800,,2013/11/25,2013/10/15,5張(2014/09/05)
89,福泰桔子商務旅館(3星),Taichung Forte Orange Business Hotel –Taichung Park ,福泰桔子商務旅館,04 - 22262323 ,04 - 22290606 ,臺中市中區公園路17號1樓、4樓至8樓,"No.17, Gongyuan Rd., Central Dist., Taichung City 400, Taiwan (R.O.C.)",台中市中?公園路17? ,合法 營業,,,高銘裕,"一般旅館,商務旅館,,",134 間,1400 ~ 3040,,2010/7/9,,
